From;To;Type;Through;-1;-1;-1;-1;Comment
895;891;sea;1765;-1;-1;-1;-1;Province0895-Province0891
886;898;sea;1756;-1;-1;-1;-1;Province0886-Province0898
895;906;sea;1765;-1;-1;-1;-1;Province0895-Province0906
758;798;sea;1746;-1;-1;-1;-1;Province0758-Province0798
762;788;sea;1748;-1;-1;-1;-1;Province0762-Province0788
762;799;sea;1748;-1;-1;-1;-1;Province0762-Province0799
788;799;sea;1748;-1;-1;-1;-1;Province0788-Province0799
802;833;sea;1755;-1;-1;-1;-1;Province0802-Province0833
798;844;sea;1746;-1;-1;-1;-1;Province0798-Province0844
798;836;sea;1755;-1;-1;-1;-1;Province0798-Province0836
798;853;sea;1755;-1;-1;-1;-1;Province0798-Province0853
833;836;sea;1755;-1;-1;-1;-1;Province0833-Province0836
833;853;sea;1755;-1;-1;-1;-1;Province0833-Province0853
833;872;sea;1755;-1;-1;-1;-1;Province0833-Province0872
844;836;sea;1755;-1;-1;-1;-1;Province0844-Province0836
871;888;sea;1757;-1;-1;-1;-1;Province0871-Province0888
844;853;sea;1755;-1;-1;-1;-1;Province0844-Province0853
857;882;sea;1760;-1;-1;-1;-1;Province0857-Province0882
904;921;sea;1768;-1;-1;-1;-1;Province0904-Province0921
904;938;sea;1768;-1;-1;-1;-1;Province0904-Province0938
836;853;sea;1755;-1;-1;-1;-1;Province0836-Province0853
836;872;sea;1755;-1;-1;-1;-1;Province0836-Province0872
836;882;sea;1755;-1;-1;-1;-1;Province0836-Province0882
837;840;sea;1759;-1;-1;-1;-1;Province0837-Province0840
942;921;sea;1768;-1;-1;-1;-1;Province0942-Province0921
942;938;sea;1768;-1;-1;-1;-1;Province0942-Province0938
853;872;sea;1755;-1;-1;-1;-1;Province0853-Province0872
853;882;sea;1755;-1;-1;-1;-1;Province0853-Province0882
880;912;sea;1763;-1;-1;-1;-1;Province0880-Province0912
872;882;sea;1755;-1;-1;-1;-1;Province0872-Province0882
875;908;sea;1754;-1;-1;-1;-1;Province0875-Province0908
891;910;sea;1760;-1;-1;-1;-1;Province0891-Province0910
921;938;sea;1768;-1;-1;-1;-1;Province0921-Province0938
924;913;sea;1761;-1;-1;-1;-1;Province0924-Province0913
959;955;sea;1761;-1;-1;-1;-1;Province0959-Province0955
913;955;sea;1761;-1;-1;-1;-1;Province0913-Province0955
962;986;sea;1774;-1;-1;-1;-1;Province0962-Province0986
970;971;sea;1778;-1;-1;-1;-1;Province0970-Province0971
970;973;sea;1778;-1;-1;-1;-1;Province0970-Province0973
971;973;sea;1778;-1;-1;-1;-1;Province0971-Province0973
972;987;sea;1767;-1;-1;-1;-1;Province0972-Province0987
972;984;sea;1782;-1;-1;-1;-1;Province0972-Province0984
987;984;sea;1782;-1;-1;-1;-1;Province0987-Province0984
1002;1009;sea;1778;-1;-1;-1;-1;Province1002-Province1009
1009;1023;sea;1778;-1;-1;-1;-1;Province1009-Province1023
1023;1024;sea;1778;-1;-1;-1;-1;Province1023-Province1024
1138;1108;sea;1794;-1;-1;-1;-1;Province1138-Province1108
1238;1241;sea;1800;-1;-1;-1;-1;Province1238-Province1241
1396;1427;sea;1810;-1;-1;-1;-1;Province1396-Province1427
1451;1473;sea;1810;-1;-1;-1;-1;Province1451-Province1473
1462;1480;sea;1813;-1;-1;-1;-1;Province1462-Province1480
1288;1310;sea;1801;-1;-1;-1;-1;Province1288-Province1310
1308;1327;sea;1805;-1;-1;-1;-1;Province1308-Province1327
1421;1425;sea;1808;-1;-1;-1;-1;Province1421-Province1425
1327;1342;sea;1805;-1;-1;-1;-1;Province1327-Province1342
1494;1495;sea;1815;-1;-1;-1;-1;Province1494-Province1495
1494;1507;sea;1815;-1;-1;-1;-1;Province1494-Province1507
1465;1495;sea;1815;-1;-1;-1;-1;Province1465-Province1495
1473;1480;sea;1810;-1;-1;-1;-1;Province1473-Province1480
1495;1507;sea;1815;-1;-1;-1;-1;Province1495-Province1507
1509;1518;sea;1818;-1;-1;-1;-1;Province1509-Province1518
1518;1519;sea;1818;-1;-1;-1;-1;Province1518-Province1519
1521;1522;sea;1819;-1;-1;-1;-1;Province1521-Province1522
1522;1523;sea;1823;-1;-1;-1;-1;Province1522-Province1523
1522;1524;sea;1823;-1;-1;-1;-1;Province1522-Province1524
1523;1524;sea;1823;-1;-1;-1;-1;Province1523-Province1524
1524;1525;sea;1824;-1;-1;-1;-1;Province1524-Province1525
1524;1526;sea;1823;-1;-1;-1;-1;Province1524-Province1526
1525;1526;sea;1824;-1;-1;-1;-1;Province1525-Province1526
1525;1527;sea;1824;-1;-1;-1;-1;Province1525-Province1527
1526;1527;sea;1824;-1;-1;-1;-1;Province1526-Province1527
1530;1533;sea;1830;-1;-1;-1;-1;Province1530-Province1533
1532;1536;sea;1830;-1;-1;-1;-1;Province1532-Province1536
1533;1536;sea;1830;-1;-1;-1;-1;Province1533-Province1536
1540;1541;sea;1832;-1;-1;-1;-1;Province1540-Province1541
1574;1588;sea;1834;-1;-1;-1;-1;Province1574-Province1588
1535;1538;sea;1830;-1;-1;-1;-1;Province1535-Province1538
1535;1544;sea;1830;-1;-1;-1;-1;Province1535-Province1544
1535;1545;sea;1830;-1;-1;-1;-1;Province1535-Province1545
1536;1542;sea;1830;-1;-1;-1;-1;Province1536-Province1542
1538;1544;sea;1830;-1;-1;-1;-1;Province1538-Province1544
1538;1545;sea;1830;-1;-1;-1;-1;Province1538-Province1545
1538;1546;sea;1830;-1;-1;-1;-1;Province1538-Province1546
1544;1545;sea;1830;-1;-1;-1;-1;Province1544-Province1545
1544;1546;sea;1830;-1;-1;-1;-1;Province1544-Province1546
1545;1546;sea;1830;-1;-1;-1;-1;Province1545-Province1546
1546;1547;sea;1830;-1;-1;-1;-1;Province1546-Province1547
1547;1550;sea;1830;-1;-1;-1;-1;Province1547-Province1550
1550;1554;sea;1830;-1;-1;-1;-1;Province1550-Province1554
1568;1569;sea;1835;-1;-1;-1;-1;Province1568-Province1569
1568;1570;sea;1835;-1;-1;-1;-1;Province1568-Province1570
1569;1570;sea;1835;-1;-1;-1;-1;Province1569-Province1570
1569;1575;sea;1835;-1;-1;-1;-1;Province1569-Province1575
1570;1575;sea;1835;-1;-1;-1;-1;Province1570-Province1575
1590;1587;sea;1837;-1;-1;-1;-1;Province1590-Province1587
1575;1578;sea;1835;-1;-1;-1;-1;Province1575-Province1578
1578;1584;sea;1835;-1;-1;-1;-1;Province1578-Province1584
1601;1605;sea;1838;-1;-1;-1;-1;Province1601-Province1605
1608;1609;sea;1841;-1;-1;-1;-1;Province1608-Province1609
1612;1613;sea;1847;-1;-1;-1;-1;Province1612-Province1613
1615;1617;sea;1847;-1;-1;-1;-1;Province1615-Province1617
1617;1618;sea;1849;-1;-1;-1;-1;Province1617-Province1618
1617;1619;sea;1849;-1;-1;-1;-1;Province1617-Province1619
1618;1619;sea;1849;-1;-1;-1;-1;Province1618-Province1619
1620;1622;sea;1849;-1;-1;-1;-1;Province1620-Province1622
1626;1627;sea;1850;-1;-1;-1;-1;Province1626-Province1627
1628;1629;sea;1850;-1;-1;-1;-1;Province1628-Province1629
1631;1631;portage;1;-1;-1;-1;-1;It will stop working if you remove this
1631;1631;portage;1;-1;-1;-1;-1;
1693;1683;portage;1;-1;-1;-1;-1;
1682;1683;portage;1;-1;-1;-1;-1;
